rowid,kepoi_name,koi_score,koi_period,koi_eccen,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,Predict
6684,K05622.01,0.954,469.61309,0,0.038837,0.20209,3.24,1.117,200,0.37,133.1,1,5474,4.598,-0.28,0.763,0.847,,0
6877,K05875.01,1,9.8788502,0,0.021044,1.1738,2.64,0.0932,1003,238.98,18.23,2,6477,4.361,-0.26,1.148,1.102,,0
6934,K03954.02,1,5.71668787,0,0.019874,3.39306,1.92,0.0599,955,196.51,18.03,2,5638,4.488,-0.18,0.883,0.875,,0
6935,K00520.04,0.905,51.1658019,0,0.016698,0.96255,1.51,0.2494,398,5.96,51.1,4,4963,4.501,0.16,0.826,0.789,,0
6961,K04032.03,0.997,5.99273265,0,0.007793,1.80736,0.91,0.0632,1010,245.32,15.08,5,5574,4.354,0.12,1.065,0.933,,0
6962,K04032.04,1,5.10110666,0,0.007283,2.327,0.85,0.0567,1065,304.8,14.74,5,5574,4.354,0.12,1.065,0.933,,0
7043,K03741.03,0.996,5.1117547,0,0.01914,0.05095,2.81,0.0593,1351,788,4.13,4,6432,4.207,-0.34,1.345,1.06,,0
7087,K06132.02,1,7.5844241,0,0.032357,0.27467,5.83,0.0836,1228,537.4,9.42,3,6264,4.133,0.26,1.651,1.352,,0
7112,K06228.01,1,21.0907909,0,0.021087,0.34445,1.88,0.142,606,31.86,20.08,1,5723,4.546,-0.36,0.818,0.857,,0
7122,K02311.03,0.976,104.3519624,0,0.014651,11.2457,1.39,0.4297,355,3.74,186.4,3,5650,4.546,0.02,0.87,0.971,,0
7158,K06145.01,0.937,19.672324,0,0.025068,0.57811,4.07,0.1473,908,160.98,22.8,3,6486,4.136,-0.34,1.485,1.098,,0
7159,K06145.02,0.999,32.657035,0,0.023004,1.39791,3.73,0.2065,767,81.91,42.87,3,6486,4.136,-0.34,1.485,1.098,,0
7228,K06166.01,1,12.2064304,0,0.032713,8.01064,5.41,0.1016,895,151.44,39.81,2,5254,4.05,0.21,1.514,0.937,,0
7229,K06166.02,1,6.6513189,0,0.029092,6.25015,4.81,0.0678,1095,340.06,24.45,2,5254,4.05,0.21,1.514,0.937,,0
7231,K02210.02,1,210.631486,0,0.038919,1.62078,3.23,0.6477,234,0.71,156.1,2,4895,4.589,0.16,0.759,0.817,,0
7252,K02714.03,0.955,184.262741,0,0.018261,0.11657,2.57,0.6503,380,4.93,59.4,3,6115,4.249,-0.04,1.291,1.077,,0
